Track name,Artist name,Album,Playlist name,Type,ISRC
"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes","The Papercut Chronicles II","Car Rock 🚗","Playlist","USAT21101071"
"Run Free","Deep Chills","Run Free","Car Rock 🚗","Playlist","NLYK91700007"
"Fly Away","TheFatRat","Fly Away","Car Rock 🚗","Playlist","SEUM71700411"
"The Nights","Avicii","The Days / Nights","Car Rock 🚗","Playlist","CH3131340464"
"Ainsi bas la vida","Indila","Mini World (Deluxe)","Car Rock 🚗","Playlist","FRUM71402811"
"Gimme Gimme Gimme (a man after midnight)","Syzz","Gimme Gimme Gimme (a man after midnight)","Car Rock 🚗","Playlist","GBKPL2086966"
"Jugnu","Badshah","Jugnu","Car Rock 🚗","Playlist","INUM72100074"
"Nan Adicha","Vijay Antony","Vettaikaaran (Original Motion Picture Soundtrack)","Car Rock 🚗","Playlist","INS171100349"
"Safe And Sound","Capital Cities","In A Tidal Wave Of Mystery (Deluxe Edition)","Car Rock 🚗","Playlist","USCA21203108"
"Vacation","Damon Empero","Vacation","Car Rock 🚗","Playlist","GBSMU3091864"
"I'm an Albatraoz","AronChupa","I'm an Albatraoz","Car Rock 🚗","Playlist","SEYOK1406001"
"Trampoline - Jauz Remix","SHAED","Trampoline (Jauz Remix)","Car Rock 🚗","Playlist","QZ47A1900201"
"Да да да - Jarico Remix","Tanir","Да да да (Jarico Remix)","Car Rock 🚗","Playlist","FR96X1987484"
"Ola La","Kate Linn","Ola La","Car Rock 🚗","Playlist","TCACQ1649435"
"Akkarappacha","NJ","Akkarappacha","Car Rock 🚗","Playlist","INA982000697"
"Time - Alan Walker Remix","Alan Walker","Time (Alan Walker Remix)","Car Rock 🚗","Playlist","DEE862000720"
"Kodikayarana Pooramai","Anwar Sadath","Pancharayadu","Car Rock 🚗","Playlist","INA981500091"
"Panipaali","NJ","Panipaali","Car Rock 🚗","Playlist","INA982000554"
"Blah Blah Blah","Armin van Buuren","Blah Blah Blah","Car Rock 🚗","Playlist","NLF711805914"
"Turn It Up","Armin van Buuren","Turn It Up (Remixes)","Car Rock 🚗","Playlist","NLF711901964"
"More Than You Know","Axwell /\ Ingrosso","More Than You Know","Car Rock 🚗","Playlist","GBUM71701735"
"Entammede Jimikki Kammal","Vineeth Sreenivasan","Velipadinte Pusthakam (Original Motion Picture Soundtrack)","Car Rock 🚗","Playlist","INS321705029"
"Right Now (Na Na Na)","Akon","Freedom","Car Rock 🚗","Playlist","USUM70837868"
"Pambaram","Street Academics","Loop","Car Rock 🚗","Playlist","AUBEC1912288"
"I Ain't Worried","OneRepublic","I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")","Car Rock 🚗","Playlist","USUM72206227"
"Superman","Eminem","The Eminem Show","Car Rock 🚗","Playlist","USIR10211062"
